market,is_cumulative,seq,code,name,board_date,purpose_code,amount_cap,planned_shares,price_low,price_high,period_start,period_end,done,standard_data,bought_shares,cancelled_transferred_shares,bought_ratio_pct,bought_amount,avg_price,bought_of_outstanding_pct,note,purpose_text
sii,False,567,6278,台表科,114/12/29,1,"19,154,750,612","10,000,000",66.50,148.00,114/12/30,115/02/26,Y,,"3,413,000",,34.13,"328,213,828",96.17,1.17,為兼顧市場機制不影響股價，並維護股東權益，本公司視股價變化及成交量狀況採分批買回，故本次庫藏股未能執行完畢。,轉讓股份予員工
sii,True,累計,6278,台表科,----,----,----,"24,000,000",----,----,----,----,----,,"8,913,000","5,500,000",37.14,"531,853,944",----,----,----,----
sii,False,568,6282,康舒,93/08/10,1,"2,021,442,362","10,000,000",20.00,30.00,93/08/11,93/10/10,Y,,"10,000,000","10,000,000",100.00,"282,636,500",28.26,2.43,,轉讓股份予員工
sii,False,568,6282,康舒,95/09/01,1,"1,220,875,489","20,000,000",7.00,15.00,95/09/04,95/11/03,Y,,"18,240,000","18,240,000",91.20,"189,139,990",10.37,3.92,因買回期間股價維持穩定，為顧及本公司股東權益及員工未來認股意願，本次買回執行率91.2%，未按預計數量全數買回。,轉讓股份予員工
sii,False,568,6282,康舒,104/08/26,3,"2,974,047,236","30,000,000",12.00,20.00,104/08/27,104/09/26,Y,,"13,358,000","13,358,000",44.53,"237,871,302",17.81,2.51,因買回股份執行期間，股價已漸趨穩定，本公司基於維護股東權益與兼顧市場機制，並考量後續資金運用之效益，故未予以執行完畢。,維護公司信用及股東權益並辦理註銷
sii,False,568,6282,康舒,104/08/26,1,"2,974,047,236","20,000,000",12.00,20.00,104/09/27,104/10/26,Y,,0,0,0.00,0,0.00,0.00,執行買回期間為9/27~10/26，因9/27~9/29為假日，10/1起本公司股價已高於董事會所決議之價格上限，故執行率為0。,轉讓股份予員工
sii,True,累計,6282,康舒,----,----,----,"80,000,000",----,----,----,----,----,,"41,598,000","41,598,000",52.00,"709,647,792",----,----,----,----
sii,False,569,6283,淳安,93/07/23,1,"118,579,000","1,000,000",18.50,40.00,93/07/26,93/09/25,Y,,"500,000","500,000",50.00,"13,748,532",27.50,1.50,為使轉讓股份予員工的目的能順利達成並顧及股東權益，採低接不追,轉讓股份予員工
sii,False,569,6283,淳安,93/09/30,1,"160,078,000","500,000",18.50,40.00,93/10/01,93/11/30,Y,,"200,000","200,000",40.00,"4,714,100",23.57,0.51,為維護股東權益，及未來轉讓員工利益，限價限量承接為原則。,轉讓股份予員工
sii,False,569,6283,淳安,96/04/18,1,"452,809,000","1,600,000",32.00,45.00,96/04/19,96/06/18,Y,,"1,300,000","1,300,000",81.25,"43,895,430",33.77,1.90,為使轉讓股份予員工之目的順利達成並顧及股東權益，以限價限量低接為原則。,轉讓股份予員工
sii,False,569,6283,淳安,96/06/15,1,"493,220,000","800,000",32.00,45.00,96/06/20,96/08/14,Y,,"800,000","800,000",100.00,"30,411,502",38.01,1.16,,轉讓股份予員工
sii,False,569,6283,淳安,97/06/24,1,"503,432,000","1,500,000",20.00,30.00,97/06/25,97/08/22,Y,,"1,459,000","1,459,000",97.27,"26,013,211",17.83,1.93,為視市場整體行情及環境，本公司視股價變化，分批買回，故未予以全部執行完畢。,轉讓股份予員工
sii,False,569,6283,淳安,97/12/19,1,"496,118,000","2,000,000",10.00,15.00,97/12/23,98/02/21,Y,,"1,000,000","1,000,000",50.00,"11,226,407",11.23,1.13,為視市場整體行情及環境，本公司視股價變化，分批買回，故未予以全部執行完畢。,轉讓股份予員工
sii,False,569,6283,淳安,99/12/21,1,"362,759,238","2,000,000",10.00,15.00,99/12/22,100/02/20,Y,,"1,000,000","1,000,000",50.00,"12,364,085",12.36,0.93,為視市場整體行情及環境，本公司視股價變化，分批買回，故未予以全部執行完畢。,轉讓股份予員工
sii,False,569,6283,淳安,100/03/21,1,"348,693,434","2,000,000",10.00,15.00,100/03/24,100/05/23,Y,,"700,000","700,000",35.00,"7,433,321",10.62,0.65,為視市場整體行情及環境，本公司視股價變化，分批買回，故未予以全部執行完畢。,轉讓股份予員工
sii,False,569,6283,淳安,101/01/02,1,"234,206,429","5,000,000",5.00,10.00,101/01/03,101/03/02,Y,,"4,000,000","4,000,000",80.00,"33,758,778",8.44,3.78,本公司視股價變化分批買回以維持股東權益,轉讓股份予員工
sii,False,569,6283,淳安,109/12/23,1,"453,879,467","1,600,000",27.90,44.65,109/12/24,110/02/23,Y,,"1,400,000",,87.50,"55,567,515",39.69,0.95,為視市場整體行情及環境，本公司視股價變化，分批買回，故未予以全部執行完畢。,轉讓股份予員工
sii,False,569,6283,淳安,114/05/09,1,"208,402,711","1,000,000",19.00,34.00,114/05/12,114/07/11,Y,,"714,000",,71.40,"16,506,264",23.12,0.48,基於維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況採取分批買回策略，故未全數執行完畢。,轉讓股份予員工
sii,True,累計,6283,淳安,----,----,----,"19,000,000",----,----,----,----,----,,"13,073,000","10,959,000",68.81,"255,639,145",----,----,----,----
sii,False,570,6285,啟碁,93/05/06,1,"1,156,190,000","3,000,000",60.00,80.00,93/05/07,93/07/06,Y,,"865,000","865,000",28.83,"50,588,582",58.48,1.07,本公司執行庫藏股買回期間，適逢國內市場環境激烈變化，為顧及股,轉讓股份予員工
sii,False,570,6285,啟碁,95/06/23,1,"2,621,257,411","1,500,000",60.00,90.00,95/06/26,95/08/25,Y,,"1,500,000","1,500,000",100.00,"113,407,416",75.60,1.09,,轉讓股份予員工
sii,False,570,6285,啟碁,97/01/28,1,"3,460,593,602","5,000,000",35.00,55.00,97/01/29,97/03/27,Y,,"5,000,000","5,000,000",100.00,"214,021,028",42.80,2.48,,轉讓股份予員工
sii,True,累計,6285,啟碁,----,----,----,"9,500,000",----,----,----,----,----,,"7,365,000","7,365,000",77.53,"378,017,026",----,----,----,----
sii,False,571,6412,群電,104/05/21,1,"2,281,476,195","5,000,000",40.00,50.00,104/05/22,104/07/21,Y,,"5,000,000","5,000,000",100.00,"208,559,207",41.71,1.39,,轉讓股份予員工
